Carimbo de data/hora,,Sexo:,Localização:,Formação:,Porte da Organização:,Qual a sua experiência no cargo ocupado?,"De acordo com o seu cargo, em qual nível você se encontra?",Você possui alguma certificação relacionada ao cargo que você está ocupando?,Você sempre atuou na área Tech? ,Qual o seu cargo ou função na organização? ,Em quais stacks você já atuou e/ou está trabalhando atualmente?,"Eu compreendo a técnica de teste funcional, seus critérios e sou capaz de aplicá-la na prática","Eu compreendo a técnica de teste estrutural (caixa-branca), seus critérios e sou capaz de aplicá-la na prática","Eu compreendo a técnica baseada em defeitos, critério de análise de mutantes e sou capaz de aplicá-la",Eu tenho experiência com automatização de testes de software e sou capaz de aplicá-la,Eu compreendo os fundamentos de BDD,Eu compreendo e utilizo cucumber + gherking,Eu compreendo e aplico os conceitos de agile testing,"Marque a opção correta para engano, defeito, erro e falha: [Engano]","Marque a opção correta para engano, defeito, erro e falha: [Defeito]","Marque a opção correta para engano, defeito, erro e falha: [Erro]","Marque a opção correta para engano, defeito, erro e falha: [Falha]","Com relação a sua experiência com ferramentas para o teste de aplicações mobile, marque aquelas que você utiliza ou já utilizou:","Com relação a sua experiência com ferramentas para o teste de aplicações web (partindo do front-end), marque aquelas que você utiliza ou já utilizou:","Com relação a sua experiência com ferramentas para o teste APIs REST (back-end), marque aquelas que você utiliza ou já utilizou:",Quais linguagens de programação você já utilizou para automação de testes de software?,"Durante seu aprendizado, você percebeu dificuldades em encontrar materiais de estudo relacionado a qualidade de software?",Quais fontes você geralmente utiliza para aprimorar suas habilidades?,Quais as habilidades mais importantes para um um QA eficiente? Marque no máximo 5 das opções disponíveis.,"Quais atividades que você, como um QA, está desempenhando na organização? Marque no máximo 5 das opções disponíveis.",Qual(is) etapa(s) do processo de desenvolvimento de software você participa?,Qual(is) nível(is) de testes você aplica durante o processo de desenvolvimento de software?,Qual(is) tipo(s) de testes você realiza durante o processo de desenvolvimento de software?,"Existem outras atividades, não mencionadas no formulário, que você executa durante o processo de testes de software?","Qual a sua percepção sobre a utilização de assistentes inteligentes e LLMs para geração de dados de teste? Vantagens, desvantagens e ajuda mesmo em cenários com lógicas complexas? Comenta aqui pra gente ;)"
2021/06/03 18:15:14,Li e não aceito participar da pesquisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/06/03 18:22:03,Li e aceito participar da pesquisa,Masculino,Lauro de Freitas - BA,Ensino Superior Completo,Média (até 499 funcionários),De 4 a 7 anos,"Pleno (atividades específicas, que exigem profundo conhecimento. Toma decisões apoiadas por um superior.)",cTFL,Sim,Analista de Automação de Testes,"Web, Mobile",5,4,4,4,4,5,4,Saída incorreta com relação à especificação,Ação incorreta tomada pelo programador,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,Apium,"Selenium, Cypress, Capybara, Robotframework","Uso estritamente manual com Postman, HTTPParty, Robot Framework","Java, JavaScript, Python, Ruby",Não,"Canais do Youtube, Medium, Cursos (Udemy, plataformas online), Sigo referências em teste de software, Livros","Aprender rápido, Ser detalhista, Ser curioso, Ser analítico, Possuir conhecimento técnico","Avaliar e garantir que os requisitos sejam atendidos, Apoiar e estabelecer padrões de qualidade, Escrever e definir cenários de teste, Executar diferentes níveis e tipos de teste, Realizar automação dos testes",Integração e Testes do Sistema,"Testes de Integração, Testes de Sistema, Testes de Regressão, Testes de Aceite","Caixa Preta (Teste Funcional), Caixa Branca (Teste Estrutural), Manual, Automatizado, Usabilidade",Nao,
2021/06/05 10:28:25,Li e aceito participar da pesquisa,Feminino,Uberlandia-MG,Ensino Superior Incompleto,Grande (mais de 499 funcionários),Menos de 1 ano,Júnior (funções de procedimentos simples ou que não exigem profundo conhecimento em um ramo de atuação),Nao7,Sim,Quality Assurance - QA,Web,3,4,4,3,3,4,2,Não sei informar,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Saída incorreta com relação à especificação,Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,Apium,Selenium,Automação com Postman,Java,Sim,"Cursos (Udemy, plataformas online), Sigo referências em teste de software, Livros","Aprender rápido, Pensar como técnico e usuário, Possuir conhecimento técnico, Ser flexível, Ser proativo","Avaliar e garantir que os requisitos sejam atendidos, Executar diferentes níveis e tipos de teste, Realizar automação dos testes, Definição dos critérios de aceite em parceria com o Product Owner, Reportar erros e defeitos",Integração e Testes do Sistema,"Testes de Sistema, Testes de Regressão","Caixa Preta (Teste Funcional), Manual",Nao,
2021/06/03 18:30:25,Li e aceito participar da pesquisa,Masculino,Ponta Grossa - PR,Ensino Superior Completo,Grande (mais de 499 funcionários),De 4 a 7 anos,"Sênior (toma decisões, e age de forma autônoma, com base no conhecimento e experiências adquiridos ao longo da carreira. Gere pessoas e projetos.)",Sim,"Não, já atuei com suporte técnico também",Analista de sistemas senior,Web,5,5,5,5,5,5,5,Ação incorreta tomada pelo programador,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,Saída incorreta com relação à especificação,Apium,"Selenium, Capybara, Robotframework",HTTPParty,"Java, Ruby",Sim,"Canais do Youtube, Cursos (Udemy, plataformas online), Sigo referências em teste de software","Aprender rápido, Ser comunicativo(a), Ser detalhista, Ser curioso, Ter empatia, Ser analítico, Sabe escutar, Ser autoconfiante, Pensar como técnico e usuário, Possuir conhecimento técnico, Ser investigador, Ser flexível, Ser proativo",Realizar automação dos testes,"Integração e Testes do Sistema, Operação e Manutenção","Testes de Integração, Testes de Sistema, Testes de Regressão","Caixa Preta (Teste Funcional), Manual, Automatizado",Não,
2021/06/06 21:07:30,Li e aceito participar da pesquisa,Feminino,Salvador - BA,Ensino Superior Incompleto,Média (até 499 funcionários),De 1 a 3 anos,Júnior (funções de procedimentos simples ou que não exigem profundo conhecimento em um ramo de atuação),"Sim, CTFL",Sim,Analista de Teste,"Web, Mobile",4,2,1,2,5,2,2,Saída incorreta com relação à especificação,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Ação incorreta tomada pelo programador,Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,Nenhum ,"Selenium, Taiko",Nenhum,"Java, JavaScript",Não,"Canais do Youtube, Cursos (Udemy, plataformas online), Sigo referências em teste de software","Aprender rápido, Ser analítico, Pensar como técnico e usuário, Possuir conhecimento técnico, Ser flexível","Avaliar e garantir que os requisitos sejam atendidos, Apoiar e estabelecer padrões de qualidade, Escrever e definir cenários de teste, Ajudar a solucionar problemas, Reportar erros e defeitos","Definição dos Requisitos, Integração e Testes do Sistema","Testes de Sistema, Testes de Regressão, Testes de Aceite","Caixa Preta (Teste Funcional), Dinâmico, Manual",Não ,
2021/06/03 18:33:42,Li e aceito participar da pesquisa,Feminino,Belo Horizonte - MG,Especialista,Grande (mais de 499 funcionários),De 8 a 11 anos,"Pleno (atividades específicas, que exigem profundo conhecimento. Toma decisões apoiadas por um superior.)",Não possuo certificação ,"Não, tenho formação em Artes Visuais, fui desenhista cad, voltei pra área tech como suporte e passei por quase idas às áreas de TI. Comecei com automação a 6 anos e achei melhor começar por C#, tentei com Java antes e não progredi muito ",Engenheira de software - Tester,"Web, Mobile, Backend",5,4,3,5,5,5,4,Ação incorreta tomada pelo programador,Saída incorreta com relação à especificação,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,"Flutter driver, ","Selenium, Robotframework, Cucumber, Nunit e Junit","Automação com Postman, Robot Framework","Java, C#",Sim,"Canais do Youtube, Medium, Cursos (Udemy, plataformas online)","Aprender rápido, Ser comunicativo(a), Ser detalhista, Ser curioso, Pensar como técnico e usuário, Possuir conhecimento técnico, Ser investigador, Ser proativo","Avaliar e garantir que os requisitos sejam atendidos, Apoiar e estabelecer padrões de qualidade, Escrever e definir cenários de teste, Executar diferentes níveis e tipos de teste, Propor melhorias no produto e/ou processo desenvolvimento, Realizar automação dos testes, Realizar a transmissão do conhecimento entre Product Owner, Desenvolvedor e administradores do sistema, Ajudar a solucionar problemas, Definição dos critérios de aceite em parceria com o Product Owner, Reportar erros e defeitos, Apoiar na codificação de teste uniário, Análise de métricas para melhoria da qualidade","Definição dos Requisitos, Implementação e Testes de Unidade, Integração e Testes do Sistema, Operação e Manutenção","Testes de Integração, Testes de Sistema, Testes de Regressão, Testes de Aceite","Caixa Preta (Teste Funcional), Manual, Automatizado, Usabilidade, Performance","Ajudar a melhorar o processo de trabalho da equipe, refinamento de negócio, coleta e análise de métricas da equipe.",
2021/06/03 18:36:33,Li e aceito participar da pesquisa,Masculino,Curitiba - PR,Ensino Superior Incompleto,Grande (mais de 499 funcionários),De 8 a 11 anos,"Sênior (toma decisões, e age de forma autônoma, com base no conhecimento e experiências adquiridos ao longo da carreira. Gere pessoas e projetos.)",Não,"Não, vendas e processos",Automation Enginner SR,"Web, Mobile, Backend",5,5,3,5,5,5,5,Ação incorreta tomada pelo programador,Saída incorreta com relação à especificação,Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Apium,"Selenium, Robotframework","Automação com Postman, Robot Framework, Rest C#","Java, JavaScript, Python, C#",Sim,"Canais do Youtube, Artigos acadêmicos, Medium, Cursos (Udemy, plataformas online)","Aprender rápido, Ser comunicativo(a), Ser curioso, Pensar como técnico e usuário, Ser proativo","Avaliar e garantir que os requisitos sejam atendidos, Apoiar e estabelecer padrões de qualidade, Executar diferentes níveis e tipos de teste, Realizar automação dos testes, Ajudar a solucionar problemas","Definição dos Requisitos, Projeto do Software, Implementação e Testes de Unidade, Integração e Testes do Sistema, Operação e Manutenção","Testes de Integração, Testes de Sistema, Testes de Regressão, Testes de Aceite","Caixa Preta (Teste Funcional), Caixa Branca (Teste Estrutural), Dinâmico, Manual, Automatizado, Usabilidade",Apoio outros QAs a se desenvolver com novas linguagens e ferramentas a fim de abrir a mente para não ficarem presos num mundo único.,
2021/06/03 18:44:55,Li e aceito participar da pesquisa,Feminino,São Paulo - SP,Pós Graduação incompleta,Grande (mais de 499 funcionários),De 8 a 11 anos,"Sênior (toma decisões, e age de forma autônoma, com base no conhecimento e experiências adquiridos ao longo da carreira. Gere pessoas e projetos.)",Ctfl,Sim ,Analista de Teste,"Web, Mobile",5,3,5,3,4,2,5,Ação incorreta tomada pelo programador,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Não utilizo ferramentas para teste mobile atualmente.,"Selenium, Cypress","Automação com Postman, Uso estritamente manual com Postman","Java, Python, Cypress",Sim,"Canais do Youtube, Artigos acadêmicos, Medium, Cursos (Udemy, plataformas online), Sigo referências em teste de software","Aprender rápido, Ser analítico, Ser autoconfiante, Possuir conhecimento técnico, Ser proativo","Avaliar e garantir que os requisitos sejam atendidos, Executar diferentes níveis e tipos de teste, Propor melhorias no produto e/ou processo desenvolvimento, Realizar a transmissão do conhecimento entre Product Owner, Desenvolvedor e administradores do sistema, Reportar erros e defeitos","Definição dos Requisitos, Projeto do Software, Integração e Testes do Sistema","Testes de Unidade, Testes de Integração, Testes de Sistema, Testes de Regressão, Testes de Aceite","Caixa Preta (Teste Funcional), Caixa Branca (Teste Estrutural), Manual, Performance",Sim estruturação e entendimento do projeto que estou atuando com a criação de fluxograma.,
2021/06/03 18:50:47,Li e aceito participar da pesquisa,Masculino,Brasília - DF,Ensino Superior Completo,Média (até 499 funcionários),De 1 a 3 anos,"Sênior (toma decisões, e age de forma autônoma, com base no conhecimento e experiências adquiridos ao longo da carreira. Gere pessoas e projetos.)",Não,Sim,Analista de Teste,"Web, Mobile, Backend",4,5,4,5,4,5,4,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Ação incorreta tomada pelo programador,Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,Apium,"Selenium, Cypress, Capybara, Robotframework","Automação com Postman, Uso estritamente manual com Postman, REST Assured","Java, JavaScript, Ruby",Sim,"Canais do Youtube, Artigos acadêmicos, Medium, Cursos (Udemy, plataformas online), Sigo referências em teste de software","Ser curioso, Ter empatia, Ser analítico, Possuir conhecimento técnico, Ser proativo","Avaliar e garantir que os requisitos sejam atendidos, Executar diferentes níveis e tipos de teste, Propor melhorias no produto e/ou processo desenvolvimento, Realizar automação dos testes, Reportar erros e defeitos","Definição dos Requisitos, Projeto do Software, Implementação e Testes de Unidade, Integração e Testes do Sistema, Operação e Manutenção","Testes de Integração, Testes de Sistema, Testes de Regressão, Testes de Aceite","Caixa Preta (Teste Funcional), Caixa Branca (Teste Estrutural), Testes de Mutação, Dinâmico, Estático, Manual, Automatizado, Usabilidade, Confiabilidade",Não lembro,
2021/06/03 19:02:22,Li e aceito participar da pesquisa,Feminino,Minas Gerais  MG,Especialista,Grande (mais de 499 funcionários),De 1 a 3 anos,"Pleno (atividades específicas, que exigem profundo conhecimento. Toma decisões apoiadas por um superior.)",Não ,Sim,Analista de Teste,Web,5,5,4,2,1,1,2,Saída incorreta com relação à especificação,"Passo, processo ou definição de dados incorreto, uma instrução ou comando incorreto",Ação incorreta tomada pelo programador,Qualquer estado intermediário incorreto ou resultado inesperado na execução do programa,Nenhum desses,"Selenium, Robotframework",Robot Framework,Java,Não,"Cursos (Udemy, plataformas online)","Ser detalhista, Ser analítico, Pensar como técnico e usuário, Ser investigador, Ser proativo","Avaliar e garantir que os requisitos sejam atendidos, Apoiar e estabelecer padrões de qualidade, Escrever e definir cenários de teste, Executar diferentes níveis e tipos de teste, Reportar erros e defeitos",Integração e Testes do Sistema,"Testes de Integração, Testes de Sistema, Testes de Regressão","Caixa Branca (Teste Estrutural), Manual, Usabilidade, Performance, Confiabilidade",Não ,
